tiempo,carga,extension_de_traccion,esfuerzo_de_traccion,deformacion,deformacion_media,desplazamiento_deformacion_uno,desplazamiento_deformacion_dos
10.5,198.95253,0.87484,4.97381,0,0,0.15061,0
10.6,200.85289,0.88375,5.02132,0,0,0.15205,0
10.7,202.57847,0.89156,5.06446,0,0,0.15354,0
10.8,204.54936,0.9,5.11373,0,0,0.15504,0
10.9,206.22008,0.90828,5.1555,0,0,0.15655,0
11,208.18547,0.91656,5.20464,0,0,0.15818,0
11.1,209.75748,925,5.24394,0,0,0.15938,0
11.2,211.51048,0.93281,5.28776,0,0,0.16122,0
11.3,213.61066,0.94219,5.34027,0,0,0.16349,0
11.4,215.15838,0.94969,5.37896,0,0,0.16491,0
11.5,217.20603,0.95875,5.43015,0,0,0.16671,0
11.6,218.85326,0.96656,5.47133,0,0,0.16809,0
11.7,220.89076,0.97516,5.52227,0,0,0.1701,0
11.8,222.28016,0.98328,5557,0,0,0.17142,0
11.9,224.35761,0.99109,5.60894,0,0,0.17323,0
12,226.05499,1.00016,5.65137,0,0,0.17466,0
12.1,227.98197,1.00812,5.69955,0,0,0.1764,0
12.2,229.69504,1.01719,5.74238,0,0,0.17787,0
12.3,231.44726,1.02484,5.78618,0,0,0.17943,0
12.4,233.30844,1.03375,5.83271,0,0,0.18087,0
12.5,235.05832,1.04156,5.87646,0,0,0.18223,0
12.6,237.15927,1.04984,5.92898,0,0,0.18398,0
12.7,238.71795,1.05828,5.96795,0,0,0.18532,0
12.8,240.45687,1.06641,6.01142,0,0,0.18714,0
12.9,242.12447,1.07547,6.05311,0,0,0.18829,0
13,243.92607,1.08266,6.09815,0,0,0.18963,0
13.1,245.79822,1.09234,6.14496,0,0,0.19102,0
13.2,247.67895,1.09984,6.19197,0,0,0.19272,0
13.3,249.4124,1.10828,6.23531,0,0,0.19428,0
13.4,250.87076,1.11656,6.27177,0,0,0.19566,0
13.5,253.00386,1.12484,6.3251,0,0,0.19695,0
13.6,254.76471,1.13359,6.36912,0,0,0.19843,0
13.7,256.30144,1.14094,6.40754,0,0,0.20002,0
13.8,258.30993,1.15031,6.45775,0,0,0.20152,0
13.9,260.01357,1.15812,6.50034,0,0,0.20292,0
14,262.02598,1.16719,6.55065,0,0,0.20445,0
14.1,263.31665,1175,6.58292,0,0,0.20555,0
14.2,265.54926,1.18375,6.63873,0,0,0.20729,0
14.3,267.06797,1.19187,6.6767,0,0,0.20884,0
14.4,268.8163,1.19937,6.72041,0,0,0.21024,0
14.5,270.70097,1.20859,6.76752,0,0,0.21165,0
14.6,272.15385,1.21641,6.80385,0,0,0.21316,0
14.7,274.21876,1.22562,6.85547,0,0,0.21472,0
14.8,275.77665,1.23297,6.89442,0,0,0.21615,0
14.9,277.59785,1.24203,6.93995,0,0,0.21769,0
15,279.36106,1.25,6.98403,0,0,0.21894,0
15.1,281.27236,1.25781,7.03181,0,0,0.22068,0
15.2,282.86083,1.26672,7.07152,0,0,0.22223,0
15.3,284.49004,1.27484,7.11225,0,0,0.2237,0
15.4,286.01501,1.28359,7.15038,0,0,0.22507,0
15.5,287.69672,1.29125,7.19242,0,0,0.2265,0
15.6,289.52025,1.30031,7.23801,0,0,0.22804,0
15.7,291.24899,1.30812,7.28122,0,0,0.22945,0
